stage,kaplankiran_review_as_printed,li_meta_analysis_as_printed,team_agreed_2026_09_05,kaplankiran_reported_2026_09_10,li_reported_2026_09_11,arithmetic_check,comment
records identified,2541,2551,2541,2549,not supplied,"Li: figure not independently re-derivable at this stage (no prior stage to subtract); Kaplankiran: printed as 'Records identified from: Databases (n = 2541)' per manuscript/sr_data/prisma_counts.csv, no register or other-source box.","Kaplankiran and Li report different starting totals (2541 vs 2551, difference of 10) although both dissertations describe the same search; manuscript/sr_data/prisma_counts.csv itself flags this same 2541-vs-2551 mismatch against the companion dissertation. Not repaired here."
duplicates removed,891,894,891,891,not supplied,Neither figure is itself an arithmetic derivation from other stages (both are direct counts of duplicates removed).,Kaplankiran 891 vs Li 894 duplicates removed (difference of 3).
records screened,1641,1657,,1641,1641,"Li: 2551 - 894 = 1657, consistent with Li's printed screened count. Kaplankiran: 2541 - 891 = 1650, but printed value is 1641, a discrepancy of 9 (as already flagged in manuscript/sr_data/prisma_counts.csv).","Li's flow is internally consistent at this stage; Kaplankiran's printed 'records screened' figure does not match the arithmetic of its own printed 'identified' and 'duplicates removed' figures. HK 10 Sep: 1,658 after deduplication; 17 marked red in AIM Review and not screened YL's 11 Sep 2026 figure (1,641) agrees with HK's."
records excluded at title and abstract,1569,1579,,1569,not supplied,"Li: 1657 - 1579 = 78, consistent with Li's printed 'reports sought for retrieval' count (see below). Kaplankiran: 1641 - 1569 = 72, consistent with Kaplankiran's printed 'reports sought for retrieval' count (see below); note manuscript/sr_data/prisma_counts.csv records the 'records excluded' box as printed '1569**' with no matching footnote text found for the double-asterisk in the document.","Both reviews' 'records excluded' figures are internally consistent with their own respective 'screened' and 'sought for retrieval' figures, even though the screened and excluded totals differ between the two reviews."
reports sought for retrieval,72,78,,72,72,"Li: 1657 - 1579 = 78, matches printed 78. Kaplankiran: 1641 - 1569 = 72, matches printed 72.",Both internally consistent given each review's own printed screened/excluded figures (see row above).
reports not retrieved,absent (9 implied),0,,not supplied,not supplied,"Kaplankiran: no 'reports not retrieved' box is printed in the PRISMA diagram; manuscript/sr_data/prisma_counts.csv implies 9 by 72 minus 63 (the printed 'reports assessed for eligibility' count). Li: printed as 0, consistent with reports sought (78) equalling reports assessed (78, see below).","Kaplankiran's figure is not printed anywhere in the document and is only an arithmetic implication, not a stated value; Li's figure of 0 is printed explicitly."
reports assessed for eligibility,63,78,,not supplied,not supplied,"Kaplankiran: 72 sought minus 63 assessed implies 9 not retrieved (not printed, see row above); internally consistent only if the unprinted 'not retrieved' box is accepted as 9. Li: 78 sought minus 0 not retrieved = 78 assessed, consistent with printed 78.",Li's chain is fully consistent and printed at every step; Kaplankiran's chain requires an unprinted inferred value to reconcile sought vs assessed.
reports excluded,16,55,,25,49,"Kaplankiran: 63 assessed - 16 excluded = 47, but printed 'studies included' is 45, a discrepancy of 2 (already flagged in manuscript/sr_data/prisma_counts.csv; text and Table 3 state n = 45). The 16 excluded is itself the sum of two printed reasons, 12 ('did not investigate variables of interest') plus 4 ('not population of interest') = 16, which is internally consistent. Li: 78 assessed - 55 excluded = 23, consistent with Li's printed 'studies included' count of 23.","Li's final arithmetic (assessed minus excluded equals included) is consistent; Kaplankiran's is not (63 - 16 = 47 not 45). YL (11 Sep 2026) reports 49 reports excluded from the 72 sought for her 23-study meta-analysis: HK's 25 full-text exclusions plus the 22 studies in her exclusion table plus 2 further reports, which reconciles with HK's 47 reports for 45 studies only if those 2 are companion reports; neither student has yet named them."
studies included,45,23,,45,23,"Kaplankiran: 63 - 16 = 47, printed value is 45, discrepancy of 2 not resolved by the printed diagram alone. Li: 78 - 55 = 23, matches printed 23, consistent.","Per manuscript/sr_data/prisma_counts.csv, Kaplankiran's text and Table 3 both independently state n = 45, so the diagram's arithmetic (47) conflicts with the review's own stated total (45); this discrepancy is recorded, not repaired. 72 minus 25 equals 47 reports; report-to-study mapping not supplied"
reports of included studies,not_found,23,,not supplied,not supplied,"Kaplankiran: manuscript/sr_data/prisma_counts.csv does not carry a distinct 'reports of included studies' row separate from 'studies included' (45); no separate printed figure was located for this exact PRISMA box. Li: printed as 23, equal to Li's 'studies included' figure (one report per included study), internally consistent.",Kaplankiran value recorded as not_found because no distinct printed figure for this specific PRISMA stage was identified in manuscript/sr_data/prisma_counts.csv; this should not be read as zero or as equal to 45.
