correction_id,study_id_clean,effect_type,field,raw,corrected,source,reason,class,decided_date,amendment_ref,approver,disposition,layer
C01,KILLACKEY_2019,proportion,timepoint_months,12,6,"Killackey et al. 2019, Br J Psychiatry 214(2):76-82, Results",76/126 equals the pooled 0-6 month arm counts (47+29 over 66+60); the paper gives no 12-month per-arm counts and 126 cannot be a 12-month denominator given 20.5% and 28.8% missing at 12 months,defect correction,2026-09-01,A6,"research team, 2 Sep 2026",applied,historical
C02,KILLACKEY_2019,proportion,follow_up_months,12,18,"Killackey et al. 2019, Methods",Trial follow-up was 18 months; aligns the proportion row with the trial row,defect correction,2026-09-01,A6,"research team, 2 Sep 2026",applied,historical
C03,KILLACKEY_2019,proportion,outcome_definition,Worked at least 1 day in paid employment during 6_12 month follow-up period,Worked at least 1 day in paid employment during 0_6 month follow-up period (arms pooled),"Killackey et al. 2019, Results",Label corrected to match the counts,defect correction,2026-09-01,A6,"research team, 2 Sep 2026",applied,historical
C04,CRAIG_2014,proportion,n_assessed,159,134,"Craig et al. 2014, Br J Psychiatry 205(2):145-150, Table 2 (68 + 66 assessed)","Available-case rule: the prevalence denominator is the number assessed, consistent with the trial row",defect correction,2026-09-01,A6,"research team, 2 Sep 2026",applied,historical
C05,HEGELSTAD_2019,proportion,n_assessed,60,57,"Hegelstad et al. 2019, Early Interv Psychiatry 13(4):859-866, Results (30 completers; 3 controls lacked employment data at 1 year)",Available-case rule: 14/30 intervention plus 2/27 controls,defect correction,2026-09-01,A6,"research team, 2 Sep 2026",applied,historical
C06,HEGELSTAD_2019,trial_binary,n_control,30,27,"Hegelstad et al. 2019, Results",Three matched controls lacked employment status at 1 year,defect correction,2026-09-01,A6,"research team, 2 Sep 2026",applied,historical
C07,EACK_2011,proportion,outcome_definition,Paid competitive employment at 12-month follow-up,Paid competitive employment at 24-month follow-up (end of treatment),"Eack et al. 2011, Res Soc Work Pract 21(1):32-42, Table 1 (PMC3718562)",Employment outcomes are reported for the 46 two-year completers; label corrected to the 24-month timepoint,defect correction,2026-09-02,A6,"research team, 2 Sep 2026",applied,historical
C08,EACK_2011,proportion,events,12,17,"Eack et al. 2011, Table 1 (PMC3718562): competitively employed CET 13 of 24 (54%), EST 4 of 22 (18%)",The extracted 9 and 3 do not appear in any row of Table 1; counts replaced by the published end-of-treatment figures,defect correction,2026-09-02,A6,"research team, 2 Sep 2026",applied,historical
C09,EACK_2011,trial_binary,events_intervention,9,13,"Eack et al. 2011, Table 1 (PMC3718562)",As above,defect correction,2026-09-02,A6,"research team, 2 Sep 2026",applied,historical
C10,EACK_2011,trial_binary,events_control,3,4,"Eack et al. 2011, Table 1 (PMC3718562)",As above,defect correction,2026-09-02,A6,"research team, 2 Sep 2026",applied,historical
C11,TURNER_2019,proportion,notes,,"Follow-up was a mean of 19 months (range 2 to 44), not a fixed 18 months","Turner et al. 2019, Ir J Occup Ther 47(2):114-123",Table 1 footnote,defect correction,2026-09-01,A6,"research team, 2 Sep 2026",applied,historical
C12,ERICKSON_2021,trial_binary,notes,,"Denominators 47 and 50 reconstructed from the printed counts and percentages (34, 72.3%; 25, 50.0%) in Table 2; randomised 56 vs 53","Erickson et al. 2021, Early Interv Psychiatry 15(3):662-668, Table 2",Extraction note,defect correction,2026-09-01,A6,"research team, 2 Sep 2026",applied,historical
C13,NUECHTERLEIN_2020,trial_binary,notes,,"Competitive employment during months 7 to 18, available case (36 of 41 and 15 of 22 with outcome data); randomised 46 vs 23","Nuechterlein et al. 2020, Psychol Med 50(1):20-28, Results",Extraction note,defect correction,2026-09-01,A6,"research team, 2 Sep 2026",applied,historical
C14,FOWLER_2019,trial_binary,notes,,Non-affective subgroup of the ISREP 24-month follow-up (77 randomised),"Fowler et al. 2019, Schizophr Res 203:99-104",Extraction note,defect correction,2026-09-01,A6,"research team, 2 Sep 2026",applied,historical
C15,CRAIG_2014,proportion,events,41,36,"Craig et al. 2014, Br J Psychiatry 205(2):145-150, Results (journal p. 148): ""If only those in work at the day of interview were included ... (26/68 v. 10/66)""; candidate_results R03_16",A25 point-prevalence estimand: 41/134 is the cumulative having-worked count over 0 to 12 months; 36/134 (26 plus 10) is employment on the day of the 12-month interview. Pooled figure is the sum of the two printed arm cells,release-layer correction,2026-09-10,A36,"RT, 10 Sep 2026",applied,release
C16,CRAIG_2014,proportion,outcome_definition,Paid job at or above minimum wage in a mainstream setting at 12-month follow-up,"In open (paid, mainstream) employment on the day of the 12-month interview (26 of 68 intervention plus 10 of 66 control)","Craig et al. 2014, Results (journal p. 148); candidate_results R03_16",Label aligned with the point measure selected under A25,release-layer correction,2026-09-10,A36,"RT, 10 Sep 2026",applied,release
C17,ABDELBAKI_2013,proportion,events,55,40,"Abdel-Baki et al. 2013, Early Interv Psychiatry 7(4):427-436, Figure 2 (PDF p. 4); numerator reconstructed as the printed percentage times the printed n and confirmed by the Figure 3 denominator label; candidate_results R01_13","A25: 55/97 is not supported by the report as read; the employment-only figure at 12 months (full-time plus part-time employment) is 40 of 91. The 52/91 figure is productive occupation including education and homemaking and is not used (RT, 10 Sep 2026). Reconstructed numerator: flagged in release_construct_review.csv",release-layer correction,2026-09-10,A36,"RT, 10 Sep 2026",applied,release
C18,ABDELBAKI_2013,proportion,n_assessed,97,91,"Abdel-Baki et al. 2013, Figures 2 and 3 (PDF p. 4): n at the 12-month time point; candidate_results R01_13","Available-case denominator at 12 months is 91, not the 97 analysed overall",release-layer correction,2026-09-10,A36,"RT, 10 Sep 2026",applied,release
C19,ABDELBAKI_2013,proportion,outcome_definition,Paid employment /occupation at 12 months,Full-time or part-time employment at 12 months (Figure 2); education and homemaking excluded,"Abdel-Baki et al. 2013, Figure 2 (PDF p. 4)",Label aligned with the employment-only measure selected under A25,release-layer correction,2026-09-10,A36,"RT, 10 Sep 2026",applied,release
C20,ERICKSON_2021,trial_binary,events_intervention,34,30,"Erickson et al. 2021, Early Interv Psychiatry 15(3):662-668, Table 2 (journal p. 666), row ""Intake to 6-mo. follow-up"": IPS 30 (60.0%); candidate_results R11_05","A25 trial estimand: employment attained during the earliest post-randomisation six-month interval with usable per-arm counts (months 0 to 6), applied consistently with both Killackey trials",release-layer correction,2026-09-10,A36,"RT, 10 Sep 2026",applied,release
C21,ERICKSON_2021,trial_binary,n_intervention,47,50,"Erickson et al. 2021, Table 2 (journal p. 666); denominator reconstructed from the printed 60.0% (30/50); candidate_results R11_05",Months 0 to 6 available-case denominator; not printed in the paper (reconstructed),release-layer correction,2026-09-10,A36,"RT, 10 Sep 2026",applied,release
C22,ERICKSON_2021,trial_binary,events_control,25,30,"Erickson et al. 2021, Table 2 (journal p. 666): TAU 30 (57.7%); candidate_results R11_06",As C20,release-layer correction,2026-09-10,A36,"RT, 10 Sep 2026",applied,release
C23,ERICKSON_2021,trial_binary,n_control,50,52,"Erickson et al. 2021, Table 2 (journal p. 666); denominator reconstructed from the printed 57.7% (30/52); candidate_results R11_06",Months 0 to 6 available-case denominator; not printed in the paper (reconstructed),release-layer correction,2026-09-10,A36,"RT, 10 Sep 2026",applied,release
C24,ERICKSON_2021,trial_binary,timepoint_months,12,6,"Erickson et al. 2021, Table 2 (journal p. 666)",Interval end of the months 0 to 6 result selected under A25,release-layer correction,2026-09-10,A36,"RT, 10 Sep 2026",applied,release
C25,ERICKSON_2021,trial_binary,outcome_definition,Any competitive paid work during the 6_12 month follow-up period,Any competitive paid work during the 0_6 month follow-up period (intake to 6-month follow-up),"Erickson et al. 2021, Table 2 (journal p. 666)",Label aligned with the interval selected under A25,release-layer correction,2026-09-10,A36,"RT, 10 Sep 2026",applied,release
C26,MAJOR_2010,proportion,outcome_definition,Gained or returned to competitive employment at any point during the 12-month follow-up period,In competitive employment at any time during the 12-month follow-up (includes the 16 participants competitively employed at baseline who remained so),"Major et al. 2010, Early Interv Psychiatry 4(1):50-55, Table 2 (PDF p. 5): percentages are cross-sectional at baseline versus at any time during 12-month follow-up; candidate_results R19_05","Label error: 29/114 is any-time competitive employment during the year, not the number who gained or returned to work. Count unchanged; period basis unchanged",release-layer correction,2026-09-10,A36,"RT, 10 Sep 2026",applied,release
