study_id_clean,construct_as_extracted,construct_verified,usable_point_prevalence,usable_period_prevalence,window_status,baseline_selection,candidate_result_uid,source_page,reason,reviewer,review_date,amendment_ref
ABDELBAKI_2013,Paid employment /occupation at 12 months,Full-time or part-time employment at 12 months (employment only),yes,no,fixed 12 months,none,R01_13,"Abdel-Baki 2013, Figure 2 and Figure 3, PDF p. 4","Employment-only row enters via C17 to C19; numerator reconstructed from the printed percentage (flag: reconstructed); the productive-occupation composite (52/91) is not used",RT,2026-09-10,A36
ANDERSEN_2024,Any employment at 12 months,Any employment (paid) at 12 months,yes,no,fixed 12 months,none,R02_13,"Andersen 2024, Table 2","Derived sum numerator noted in the audit; construct is paid employment",RT,2026-09-10,A36
CHUA_2019,Meaningful employment at 24 months,Composite (employment or student or homemaker),no,no,fixed 24 months,none,R17_01,"Chua 2019, Results","Composite includes students and homemakers; excluded from the paid-employment construct (A25)",RT,2026-09-10,A36
CRAIG_2014,Open employment at 12 months,In open employment on the day of the 12-month interview,yes,no,fixed 12 months,none,R03_16,"Craig 2014, Results, journal p. 148","Point measure enters via C15 and C16; the cumulative 41/134 is a period measure",RT,2026-09-10,A36
DUDLEY_2014,Any employment at 12 months,Any employment at 12 months of service time,yes,no,fixed 12 months (service time),none,R04_11,"Dudley 2014, Table","Time is service time rather than individual follow-up time (audit flag); retained with the flag",RT,2026-09-10,A36
EACK_2011,Competitive employment at 24 months,Competitive employment at 24 months (end of treatment),yes,no,fixed 24 months,none,R05_04,"Eack 2011, Table 1 (PMC3718562)","Construct and window compatible; population enters the A33 duration sensitivity only (onset within eight years permitted)",RT,2026-09-10,A36
ERICKSON_2021,Any competitive paid work during months 6 to 12,Any competitive paid work during a six-month interval,no,yes,period,none,R11_09,"Erickson 2021, Table 2, journal p. 666","Period measure; prevalence period set keeps the months 6 to 12 whole-sample row (interval ending nearest 12 months); the trial rows use months 0 to 6 (C20 to C25)",RT,2026-09-10,A36
FOWLER_2019,Paid employment during the year after therapy (non-affective subgroup),Paid employment during a 12-month interval (months 9 to 21),no,yes,period,none,R24_19,"Fowler 2019, Table 1, journal p. 102","Period measure; under A33 the whole sample (affective and non-affective) is population-eligible but the extracted row is the non-affective subgroup; retained as extracted with the subgroup flag",RT,2026-09-10,A36
HEGELSTAD_2019,Competitive employment at 12 months,Competitive employment at 12 months,yes,no,fixed 12 months,none,R06_05,"Hegelstad 2019, Table 1 (spot-checked)","Available-case 16 of 57 (C05)",RT,2026-09-10,A36
HUMENSKY_2017,Work during months 0 to 12,Work-or-school percentages only (Figure 2),no,no,period,none,R18_03,"Humensky 2017, Figure 2","No counts recoverable from the report; no usable prevalence row",RT,2026-09-10,A36
KILLACKEY_2008,Worked at least 1 day during months 0 to 6,Employment attained during months 0 to 6,no,yes,period,none,R12_05,"Killackey 2008, Results","Period measure (pooled arms)",RT,2026-09-10,A36
KILLACKEY_2019,Worked at least 1 day during months 0 to 6,Employment attained during months 0 to 6,no,yes,period,none,R13_06,"Killackey 2019, Results, PDF p. 4","Period measure (pooled arms; C01 to C03)",RT,2026-09-10,A36
LIN_2026,Competitive employment at 12 months,Not recoverable,no,no,fixed 12 months,none,R15_02,"Lin 2026","119 of 280 not found in the report; 280 is the 18-month completer count; no usable row (A5 exclusion also stands)",RT,2026-09-10,A36
MAJOR_2010,Competitive employment during 12 months,In competitive employment at any time during the 12-month follow-up,no,yes,period,none,R19_05,"Major 2010, Table 2, PDF p. 5","Label corrected (C26); period measure",RT,2026-09-10,A36
NUECHTERLEIN_2020,Competitive employment during months 7 to 18,Competitive employment during months 7 to 18,no,yes,period,none,R14_12,"Nuechterlein 2020, Results, journal p. 23","Period measure; active vocational comparator",RT,2026-09-10,A36
POTHIER_2019,Occupational outcome at 6 months,Work-or-school composite,no,no,fixed 6 months,none,R07_01,"Pothier 2019","Composite of work and school; excluded from the paid-employment construct (A25)",RT,2026-09-10,A36
RINALDI_2004,Competitive employment at 12 months,Competitive employment at 12 months,yes,no,fixed 12 months,none,R20_11,"Rinaldi 2004","Construct compatible; excluded from every pooled set for cohort overlap with Rinaldi 2010 (ETHOS service)",RT,2026-09-10,A36
RINALDI_2010,Competitive employment at 12 months,Competitive employment at 12 months,yes,no,fixed 12 months,none,R08_09,"Rinaldi 2010, J Ment Health 19(6):483-491","Six-month denominator is completer-defined (audit note); 12-month row retained",RT,2026-09-10,A36
ROSENHECK_2017,Competitive employment at 12 months,Fitted GEE marginal means (no counts),no,no,fixed 12 months,none,R09_15,"Rosenheck 2017, Table 1 (spot-checked)","Table 1 gives model-fitted means, not counts; no usable prevalence row",RT,2026-09-10,A36
TAPFUMANEYI_2015,Paid employment during 12 months,Paid employment at any time during the first year,no,yes,period,none,R21_01,"Tapfumaneyi 2015","Period measure; London services overlap with Major 2010 and the Rinaldi reports (cohort flag)",RT,2026-09-10,A36
TURNER_2019,Paid employment during follow-up,At least one month of paid employment during a variable follow-up,no,no,variable (2 to 44 months),none,R22_01,"Turner 2019, Results, journal p. 119","Outside the fixed window; variable-follow-up analysis only (C27)",RT,2026-09-10,A36
VANDUIN_2021,Competitive employment at 18 months,Competitive employment during a six-month period ending at 18 months,no,yes,period,none,R10_07,"van Duin 2021","Audit: the employment rate is a six-month period measure, not a point prevalence; period set only",RT,2026-09-10,A36
WILLIAMS_2016,Job retention at 6 months,Retention of the baseline job,no,no,fixed 6 months,selected on baseline employment,R23_01,"Williams 2016","Sample selected on baseline employment (Job in Jeopardy); not a prevalence sample (A25)",RT,2026-09-10,A36
